Cell_no.	Sw	Sn	k	phi	vol	alpha	n	Swr	Snr	Snr_m	Ss
7416	1.056767677	0	6.81384E-14	0.25	10	0.000163513	1.707992244	0.159442374	0	0.02	0.001
7417	1.056565657	0	1.58146E-13	0.25	10	0.000185826	1.822500876	0.141760894	0	0.02	0.001
7418	1.056363636	0	9.09883E-13	0.25	10	0.000232195	2.060473552	0.105015113	0	0.02	0.001
7419	1.056161616	0	1.88053E-13	0.25	10	0.000190416	1.846057338	0.138123499	0	0.02	0.001
7420	1.055959596	0	1.88053E-13	0.25	10	0.000190416	1.846057338	0.138123499	0	0.02	0.001
7421	1.055757576	0	7.61111E-13	0.25	10	0.000227464	2.036192659	0.108764369	0	0.02	0.001
7422	1.055555556	0	7.61111E-13	0.25	10	0.000227464	2.036192659	0.108764369	0	0.02	0.001
7423	1.055353535	0	4.85084E-14	0.25	10	0.000154508	1.661778771	0.166578278	0	0.02	0.001
7424	1.055151515	0	2.76608E-13	0.25	10	0.000200641	1.898536419	0.130020112	0	0.02	0.001
7425	1.054949495	0	4.17785E-13	0.25	10	0.000211569	1.954617982	0.121360459	0	0.02	0.001
7426	1.054747475	0	4.17785E-13	0.25	10	0.000211569	1.954617982	0.121360459	0	0.02	0.001
7427	1.054545455	0	1.81195E-13	0.25	10	0.000189431	1.841004747	0.138903679	0	0.02	0.001
7428	1.054343434	0	1.81195E-13	0.25	10	0.000189431	1.841004747	0.138903679	0	0.02	0.001
7429	1.054141414	0	1.87645E-13	0.25	10	0.000190358	1.845761711	0.138169148	0	0.02	0.001
7430	1.053939394	0	1.15545E-12	0.25	10	0.000238527	2.092967385	0.099997683	0	0.02	0.001
7431	1.053737374	0	1.15545E-12	0.25	10	0.000238527	2.092967385	0.099997683	0	0.02	0.001
7432	1.053535354	0	1.05848E-12	0.25	10	0.000236204	2.081046348	0.101838432	0	0.02	0.001
7433	1.053333333	0	9.5005E-13	0.25	10	0.00023334	2.066348569	0.104107942	0	0.02	0.001
7434	1.053131313	0	5.47925E-13	0.25	10	0.000218755	1.991497525	0.115665823	0	0.02	0.001
7435	1.052929293	0	5.47925E-13	0.25	10	0.000218755	1.991497525	0.115665823	0	0.02	0.001
7436	1.052727273	0	1.37381E-14	0.25	10	0.000121077	1.490206119	0.193071114	0	0.02	0.001
7437	1.052525253	0	1.70885E-13	0.25	10	0.000187879	1.83303723	0.140133957	0	0.02	0.001
7438	1.052323232	0	6.09622E-13	0.25	10	0.000221583	2.006008665	0.113425133	0	0.02	0.001
7439	1.052121212	0	6.09622E-13	0.25	10	0.000221583	2.006008665	0.113425133	0	0.02	0.001
7440	1.051919192	0	2.02724E-13	0.25	10	0.000192406	1.856273836	0.136545952	0	0.02	0.001
7441	1.051717172	0	8.71025E-13	0.25	10	0.000231039	2.054537745	0.105931672	0	0.02	0.001
7442	1.051515152	0	1.65959E-13	0.25	10	0.000187103	1.829059301	0.140748196	0	0.02	0.001
7443	1.051313131	0	1.65959E-13	0.25	10	0.000187103	1.829059301	0.140748196	0	0.02	0.001
7444	1.051111111	0	1.27147E-12	0.25	10	0.000241062	2.105980419	0.097988318	0	0.02	0.001
7445	1.050909091	0	1.27147E-12	0.25	10	0.000241062	2.105980419	0.097988318	0	0.02	0.001
7446	1.050707071	0	1.66394E-13	0.25	10	0.000187173	1.829415131	0.140693252	0	0.02	0.001
7447	1.050505051	0	9.17498E-13	0.25	10	0.000232416	2.061607046	0.104840088	0	0.02	0.001
7448	1.05030303	0	1.03402E-13	0.25	10	0.000174566	1.764714953	0.15068372	0	0.02	0.001
7449	1.05010101	0	6.9006E-14	0.25	10	0.000163848	1.709712832	0.159176695	0	0.02	0.001
7450	1.04989899	0	7.50864E-14	0.25	10	0.000166086	1.721197651	0.157403304	0	0.02	0.001
7451	1.04969697	0	1.491E-13	0.25	10	0.000184265	1.814490676	0.142997763	0	0.02	0.001
7452	1.049494949	0	1.03683E-13	0.25	10	0.000174638	1.765085093	0.150626566	0	0.02	0.001
7453	1.049292929	0	1.94333E-13	0.25	10	0.000191286	1.850524512	0.137433715	0	0.02	0.001
7454	1.049090909	0	1.2499E-13	0.25	10	0.000179591	1.790502416	0.146701833	0	0.02	0.001
7455	1.048888889	0	1.87325E-13	0.25	10	0.000190313	1.845529716	0.13820497	0	0.02	0.001
7456	1.048686869	0	1.54005E-13	0.25	10	0.000185122	1.818892638	0.142318049	0	0.02	0.001
7457	1.048484848	0	1.54005E-13	0.25	10	0.000185122	1.818892638	0.142318049	0	0.02	0.001
7458	1.048282828	0	4.99958E-14	0.25	10	0.000155309	1.665886412	0.16594401	0	0.02	0.001
7459	1.048080808	0	4.99958E-14	0.25	10	0.000155309	1.665886412	0.16594401	0	0.02	0.001
7460	1.047878788	0	4.05088E-14	0.25	10	0.000149733	1.637269048	0.170362868	0	0.02	0.001
7461	1.047676768	0	9.29795E-14	0.25	10	0.00017175	1.750266145	0.152914786	0	0.02	0.001
7462	1.047474747	0	3.36924E-14	0.25	10	0.00014485	1.61221172	0.174232014	0	0.02	0.001
7463	1.047272727	0	1.97435E-14	0.25	10	0.000130687	1.539526374	0.185455486	0	0.02	0.001
7464	1.047070707	0	1.44778E-14	0.25	10	0.000122467	1.497338841	0.191969738	0	0.02	0.001
7465	1.046868687	0	1.44778E-14	0.25	10	0.000122467	1.497338841	0.191969738	0	0.02	0.001
7466	1.046666667	0	1.11837E-14	0.25	10	0.000115626	1.462228989	0.197391112	0	0.02	0.001
7467	1.046464646	0	5.55803E-15	0.25	10	9.70963E-05	1.367135644	0.212074643	0	0.02	0.001
7468	1.046262626	0	3.86366E-15	0.25	10	8.74602E-05	1.317682344	0.219710814	0	0.02	0.001
7469	1.046060606	0	5.46766E-15	0.25	10	9.66619E-05	1.364906304	0.212418879	0	0.02	0.001
7470	1.045858586	0	8.54362E-15	0.25	10	0.00010849	1.425607776	0.203045858	0	0.02	0.001
7471	1.045656566	0	7.37557E-15	0.25	10	0.000104594	1.405614129	0.206133112	0	0.02	0.001
7472	1.045454545	0	5.95949E-15	0.25	10	9.89444E-05	1.376620526	0.210610066	0	0.02	0.001
7473	1.045252525	0	9.10041E-15	0.25	10	0.000110163	1.434194058	0.201720035	0	0.02	0.001
7474	1.045050505	0	8.90377E-15	0.25	10	0.000109584	1.431223233	0.202178765	0	0.02	0.001
7475	1.044848485	0	2.39968E-14	0.25	10	0.000135857	1.566059685	0.181358431	0	0.02	0.001
7476	1.044646465	0	4.75483E-15	0.25	10	9.29601E-05	1.345908403	0.215352379	0	0.02	0.001
7477	1.044444444	0	2.92422E-14	0.25	10	0.000141096	1.592946159	0.177206843	0	0.02	0.001
7478	1.044242424	0	2.92422E-14	0.25	10	0.000141096	1.592946159	0.177206843	0	0.02	0.001
7479	1.044040404	0	2.23677E-14	0.25	10	0.000133994	1.556498742	0.182834753	0	0.02	0.001
7480	1.043838384	0	2.03724E-14	0.25	10	0.000131518	1.543791165	0.184796952	0	0.02	0.001
7481	1.043636364	0	2.03724E-14	0.25	10	0.000131518	1.543791165	0.184796952	0	0.02	0.001
7482	1.043434343	0	2.03724E-14	0.25	10	0.000131518	1.543791165	0.184796952	0	0.02	0.001
7483	1.043232323	0	1.42369E-14	0.25	10	0.000122022	1.495056608	0.192322141	0	0.02	0.001
7484	1.043030303	0	1.42369E-14	0.25	10	0.000122022	1.495056608	0.192322141	0	0.02	0.001
7485	1.042828283	0	8.15186E-14	0.25	10	0.000168264	1.732375708	0.15567728	0	0.02	0.001
7486	1.042626263	0	2.9739E-14	0.25	10	0.000141542	1.595236877	0.176853129	0	0.02	0.001
7487	1.042424242	0	3.74483E-14	0.25	10	0.000147651	1.626585305	0.172012563	0	0.02	0.001
